Course Number,Course Name,Course Description
CHEM 1E03,General Chemistry for Engineering I,"An introduction to chemical principles for Engineering students, including reactivity, bonding, structure, energetics and electrochemistry."
ENGINEER 1P13 A/B,Integrated Cornerstone Design Projects in Engineering,"Project-based integrated learning course that introduces a range of foundational (i.e., cornerstone) topics in engineering, including engineering design and communication, computation, graphic design, materials and the engineering profession. These topics are applied through a series of integrated team-based design projects in simulated workplace environments."
MATH 1ZA3,Engineering Mathematics I,"Functions: limits, continuity, derivatives, optimization, curve sketching. Antiderivative, definite integral, techniques of integration, with applications."
MATH 1ZB3,Engineering Mathematics II-A,"Techniques of integration, applications of definite integrals, differential equations, polar coordinates, parametrized curves. Sequences, infinite series, power series. Partial derivatives."
MATH 1ZC3,Engineering Mathematics II-B,"Vector spaces given by solutions to linear systems. Linear independence, dimension. Determinants. Eigenvalues, eigenvectors and diagonalisation. Complex numbers."
PHYSICS 1D03,Introductory Mechanics,"A course for engineering students. Principles of mechanics of particles and rigid bodies, including Newton's Laws, rotational kinematics and dynamics, torque, energy, momentum, angular momentum, and simple harmonic motion."
PHYSICS 1E03,"Waves, Electricity and Magnetic Fields","A course for engineering students. Oscillations and waves, interference; electrostatics, electric potential, circuit elements; magnetic fields."
WHMIS 1A00,Introduction to Health and Safety,"Introduction to safety guidelines at McMaster University, acceptable safety conduct and positive safety attitudes and practices in laboratories and Workplace Hazardous Materials Information System (WHMIS)."
