Course Number,Course Name,Course Description
Petroleum Engineering 523,Introduction to Reservoir Engineering,"Basic concepts of fluid flow in porous media; important reservoir rock and fluid properties affecting productivity; reserve estimation using volumetric and material balance methods in gas, gas-condensate and oil reservoirs; discussion of different reservoir drive mechanisms; aquifer models; decline analysis; Darcy's Law and single phase flow through porous media. Introduction to well testing, solution of radial diffusivity equation corresponding to infinite-acting and pseudo-steady state flow of slightly compressible fluids and real gases."
Geology 377,Petroleum Engineering Geology,"The principles and methods of physical geology with special emphasis on their application to the exploitation of oil and gas. Laboratory: properties of minerals and rocks, analysis and interpretation of surface and subsurface maps, interpretation of borehole logs and core, properties of sedimentary rocks."
Mechanical Engineering 595,Gas Dynamics,"Fundamentals of one-dimensional gas dynamics. Isentropic and non-isentropic flows, applications of dynamical similarity to shock waves. Oblique shocks, supersonic nozzles, flows with friction or heat transfer. Introduction to computational fluid dynamics (CFD)."
Mechanical Engineering 597,Turbomachinery,"Performance of turbomachines, machine selection, Reynolds number and scale effects. Two dimensional flow in turbomachines, degree of reaction and vector diagrams; flow irreversibilities and loss coefficients; pump, compressor and turbine efficiencies. Design of pumps, fans, centrifugal compressors, axial-flow compressors, and axial-flow turbines. Combination of machines with pipes or ducts."
Petroleum Engineering 525,Waterflooding and Enhanced Oil Recovery,Review of rock-fluid properties; trapping and mobilization of residual oil; displacement theory; linear waterflood calculations; viscous fingering; flood patterns and sweep efficiency considerations; characterization of reservoir heterogeneity; analytical waterflood prediction models; black-oil reservoir simulation models; design engineering aspects of waterflooding; and overview of enhanced recovery methods.
Petroleum Engineering 533,Petroleum Production Engineering,Principles of oil and gas production mechanics. Analysis of fluid flow from the formation to the surface facility. Reservoir inflow performance. Wellbore hydraulics and multiphase flow. Nodal analysis for production optimization Acidizing and hydraulic fracturing. Water and gas coning. Diagnosis of production problems. Artificial lift; Sucker pumping; electrical submersible pumps; progressing cavity pumps; gas lift.
Petroleum Engineering 555,Oil and Gas Field Safety and Equipment,"Review of safety issues, blow outs, fire and other hazards, hydrate formation and decomposition, H2S and other toxic gases, safety standards, impact of petroleum operations on the environment, handling and safe transportation and disposal of petroleum wastes."
Petroleum Engineering 561,Fuel Science and Technology,"Classification of fuels. Origin, geology, production and processing of fossil fuels. Supply, consumption and demand for fuels - historical patterns and future trends. Thermodynamics and reaction kinetics of combustion. Physical and chemical properties and influence on fuel utilization. Ecological, efficiency, safety, economic considerations. Non-conventional fuels. Transportation and handling."
Petroleum Engineering 563,Corrosion in Engineering Applications,"Electrochemical principle of corrosion reactions. Corrosion thermodynamics and kinetics. Electrochemical corrosion measurement techniques. Passivity and pitting corrosion. Crevice corrosion and galvanic corrosion. Environmentally assisted cracking. Corrosion control techniques including cathodic protection, coatings and inhibitors. Material selection for corrosion resistance."
